trials,acc,nmi,ari
usps,,,
7,0.86790999999999996,0.79784999999999995,0.76463999999999999
8,0.91596,0.82716000000000001,0.82367000000000001
9,0.91456000000000004,0.82377999999999996,0.81901999999999997
 ,0.90551300000000001,0.81779500000000005,0.80840799999999979
0,0.96281000000000005,0.90547,0.91984999999999995
1,0.96148999999999996,0.90327999999999997,0.91710999999999998
2,0.95899999999999996,0.89893000000000001,0.91215000000000002
3,0.95159000000000005,0.88761000000000001,0.89688000000000001
4,0.9546,0.89446999999999999,0.90317999999999998
5,0.90086999999999995,0.85843999999999998,0.83526
6,0.96353999999999995,0.90773000000000004,0.92144999999999999
7,0.89329999999999998,0.84745999999999999,0.82177
8,0.95709,0.89702000000000004,0.90852999999999995
9,0.95216999999999996,0.88971,0.89822999999999997
 ,0.94564600000000021,0.88901199999999991,0.89344099999999993
fmnist,,,
trials,acc,nmi,ari
egocentric,,,
0,0.58550999999999997,0.47243000000000002,0.43469999999999998
1,0.63373999999999997,0.47659000000000001,0.41599999999999998
2,0.61448000000000003,0.46927000000000002,0.45222000000000001
3,0.61643000000000003,0.49691999999999997,0.47448000000000001
4,0.62460000000000004,0.47197,0.42974000000000001
5,0.53720999999999997,0.44751999999999997,0.35477999999999998
6,0.57294,0.44175999999999999,0.36044999999999999
7,0.56157000000000001,0.44713999999999998,0.38774999999999998
8,0.59723999999999999,0.46331,0.42175000000000001
9,0.59172000000000002,0.46154000000000001,0.39945000000000003
 ,0.59354399999999996,0.46484500000000006,0.41313199999999994
0,0.54712000000000005,0.49345,0.39745000000000003
1,0.64324000000000003,0.52324999999999999,0.44228000000000001
2,0.61245000000000005,0.52200999999999997,0.44629000000000002
3,0.57699,0.51948000000000005,0.41881000000000002
4,0.64114000000000004,0.51963000000000004,0.46381
5,0.59897999999999996,0.52127000000000001,0.44073000000000001
6,0.55884,0.48396,0.34855000000000003
7,0.57769000000000004,0.50946000000000002,0.44078000000000001
8,0.58899999999999997,0.53341000000000005,0.44613000000000003
9,0.57972000000000001,0.49901000000000001,0.40822000000000003
 ,0.59251700000000018,0.51249299999999998,0.42530499999999999
